id	entrezid	symbol
730	895	CCND2P1
731	896	CCND3
732	897	CCND3P1
733	898	CCNE1
734	899	CCNF
735	900	CCNG1
736	901	CCNG2
737	902	CCNH
738	904	CCNT1
739	905	CCNT2
740	907	CCT
741	908	CCT6A
742	909	CD1A
743	910	CD1B
744	911	CD1C
745	912	CD1D
746	913	CD1E
747	914	CD2
748	915	CD3D
749	916	CD3E
750	917	CD3G
751	919	CD247
752	920	CD4
753	921	CD5
754	922	CD5L
755	923	CD6
756	924	CD7
757	925	CD8A
758	926	CD8B
759	927	CD8B2
760	928	CD9
761	929	CD14
762	930	CD19
763	931	MS4A1
764	932	MS4A3
765	933	CD22
766	935	CD24P1
767	936	CD24P2
768	937	CD24P3
769	938	CD24P4
770	939	CD27
771	940	CD28
772	941	CD80
773	942	CD86
774	943	TNFRSF8
775	944	TNFSF8
776	945	CD33
777	946	SIGLEC6
778	947	CD34
779	948	CD36
780	949	SCARB1
781	950	SCARB2
782	951	CD37
783	952	CD38
784	953	ENTPD1
785	954	ENTPD2
786	955	ENTPD6
787	956	ENTPD3
788	957	ENTPD5
789	958	CD40
790	959	CD40LG
791	960	CD44
792	961	CD47
793	962	CD48
794	963	CD53
795	965	CD58
796	966	CD59
797	967	CD63
798	968	CD68
799	969	CD69
800	970	CD70
801	971	CD72
802	972	CD74
803	973	CD79A
804	974	CD79B
805	975	CD81
806	976	ADGRE5
807	977	CD151
808	978	CDA
809	981	CDAN3
810	982	CDB2
811	983	CDK1
812	984	CDK11B
813	987	LRBA
814	988	CDC5L
815	989	SEPTIN7
816	990	CDC6
817	991	CDC20
818	993	CDC25A
819	994	CDC25B
820	995	CDC25C
821	996	CDC27
822	997	CDC34
823	998	CDC42
824	999	CDH1
825	1000	CDH2
826	1001	CDH3
827	1002	CDH4
828	1003	CDH5
829	1004	CDH6
830	1005	CDH7
831	1006	CDH8
832	1007	CDH9
833	1008	CDH10
834	1009	CDH11
835	1010	CDH12
836	1011	CDH12P2
837	1012	CDH13
838	1013	CDH15
839	1014	CDH16
840	1015	CDH17
841	1016	CDH18
842	1017	CDK2
843	1018	CDK3
844	1019	CDK4
845	1020	CDK5
846	1021	CDK6
847	1022	CDK7
848	1024	CDK8
849	1025	CDK9
850	1026	CDKN1A
851	1027	CDKN1B
852	1028	CDKN1C
853	1029	CDKN2A
854	1030	CDKN2B
855	1031	CDKN2C
856	1032	CDKN2D
857	1033	CDKN3
858	1036	CDO1
859	1038	CDR1
860	1039	CDR2
861	1040	CDS1
862	1041	CDSN
863	1043	CD52
864	1044	CDX1
865	1045	CDX2
866	1046	CDX4
867	1047	CLGN
868	1048	CEACAM5
869	1050	CEBPA
870	1051	CEBPB
871	1052	CEBPD
872	1053	CEBPE
873	1054	CEBPG
874	1055	CECR
875	1056	CEL
876	1057	CELP
877	1058	CENPA
878	1059	CENPB
879	1060	CENPC
880	1061	CENPCP1
881	1062	CENPE
882	1063	CENPF
883	1066	CES1
884	1068	CETN1
885	1069	CETN2
886	1070	CETN3
887	1071	CETP
888	1072	CFL1
889	1073	CFL2
890	1074	CFL1P5
891	1075	CTSC
892	1080	CFTR
893	1081	CGA
894	1082	CGB3
895	1083	CGF1
896	1084	CEACAM3
897	1085	CEACAMP5
898	1086	CEACAMP11
899	1087	CEACAM7
900	1088	CEACAM8
901	1089	CEACAM4
902	1090	CEACAMP1
903	1091	CEACAMP2
904	1092	CEACAMP3
905	1093	CEACAMP4
906	1094	CEACAMP6
907	1095	CEACAMP7
908	1096	CEACAMP8
909	1097	CEACAMP9
910	1098	CEACAMP10
911	1101	CHAD
912	1102	RCBTB2
913	1103	CHAT
914	1104	RCC1
915	1105	CHD1
916	1106	CHD2
917	1107	CHD3
918	1108	CHD4
919	1109	AKR1C4
920	1111	CHEK1
921	1112	FOXN3
922	1113	CHGA
923	1114	CHGB
924	1116	CHI3L1
925	1117	CHI3L2
926	1118	CHIT1
927	1119	CHKA
928	1120	CHKB
929	1121	CHM
930	1122	CHML
931	1123	CHN1
932	1124	CHN2
933	1128	CHRM1
934	1129	CHRM2
935	1130	LYST
936	1131	CHRM3
937	1132	CHRM4
938	1133	CHRM5
939	1134	CHRNA1
940	1135	CHRNA2
941	1136	CHRNA3
942	1137	CHRNA4
943	1138	CHRNA5
944	1139	CHRNA7
945	1140	CHRNB1
946	1141	CHRNB2
947	1142	CHRNB3
948	1143	CHRNB4
949	1144	CHRND
950	1145	CHRNE
951	1146	CHRNG
952	1147	CHUK
953	1149	CIDEA
954	1152	CKB
955	1153	CIRBP
956	1154	CISH
957	1155	TBCB
958	1156	CKBE
959	1157	CKBP1
960	1158	CKM
961	1159	CKMT1B
962	1160	CKMT2
963	1161	ERCC8
964	1163	CKS1B
965	1164	CKS2
966	1167	CLA3
967	1173	AP2M1
968	1174	AP1S1
969	1175	AP2S1
970	1176	AP3S1
971	1178	CLC
972	1179	CLCA1
973	1180	CLCN1
