大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
麻黄,独活,细辛,黄芪,黄芩,,,,,,,,,,,,,,,,,,,,
白术,附子,甘草,,,,,,,,,,,,,,,,,,,,,,
干地黄,山茱萸,薯蓣,泽泻,茯苓,牡丹皮,桂枝,附子,,,,,,,,,,,,,,,,,
麻黄,石膏,生姜,甘草,白术,大枣,,,,,,,,,,,,,,,,,,,
黄芪,芍药,桂枝,生姜,大枣,,,,,,,,,,,,,,,,,,,,
桂枝,芍药,生姜,甘草,大枣,龙骨,牡蛎,,,,,,,,,,,,,,,,,,
天雄,白术,桂枝,龙骨,,,,,,,,,,,,,,,,,,,,,
桂枝,甘草,大枣,芍药,生姜,胶饴,,,,,,,,,,,,,,,,,,,
薯蓣,当归,桂枝,干地黄,曲,豆黄卷,甘草,川芎,麦门冬,芍药;白术,杏仁,人参,柴胡,桔梗,茯苓,阿胶,干姜,白蔹,防风,大枣,,,,,
酸枣仁,甘草,知母,茯苓,川芎,（深师有生姜二两）,,,,,,,,,,,,,,,,,,,
大黄,黄芩,甘草,桃仁,杏仁,芍药,干地黄,干漆,虻虫,水蛭;蛴螬,蜇虫,,,,,,,,,,,,,,
甘草,桂枝,生姜,麦门冬,麻仁,人参,阿胶,大枣,生地黄,,,,,,,,,,,,,,,,
甘草,干姜,,,,,,,,,,,,,,,,,,,,,,,
射干,麻黄,生姜,细辛,紫菀,款冬花,五味子,大枣,半夏,,,,,,,,,,,,,,,,
厚朴,麻黄,石膏,杏仁,半夏,干姜,细辛,小麦,五味子,,,,,,,,,,,,,,,,
半夏,紫参（一作紫菀）,泽漆,生姜,白前,甘草,黄芩,人参,桂枝,,,,,,,,,,,,,,,,
麦门冬,半夏,人参,甘草,粳米,大枣,,,,,,,,,,,,,,,,,,,
葶苈,大枣,,,,,,,,,,,,,,,,,,,,,,,
桔梗,甘草,,,,,,,,,,,,,,,,,,,,,,,
麻黄,石膏,生姜,大枣,甘草,半夏,,,,,,,,,,,,,,,,,,,
麻黄,芍药,桂枝,细辛,甘草,干姜,五味子,半夏,石膏,,,,,,,,,,,,,,,,
生姜,人参,甘草,大枣,,,,,,,,,,,,,,,,,,,,,
桂枝,生姜,甘草,大枣,皂荚,,,,,,,,,,,,,,,,,,,,
桔梗,贝母,巴豆,,,,,,,,,,,,,,,,,,,,,,
苇茎,薏苡仁,桃仁,瓜瓣,,,,,,,,,,,,,,,,,,,,,
甘草,川芎,当归,半夏,黄芩,生葛,芍药,生姜,甘李根白皮,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,生姜,大枣,,,,,,,,,,,,,,,,,,,,
茯苓,甘草,大枣,桂枝,,,,,,,,,,,,,,,,,,,,,
栝楼实,薤白,白酒,,,,,,,,,,,,,,,,,,,,,,
栝楼实,薤白,半夏,白酒,,,,,,,,,,,,,,,,,,,,,
枳实,厚朴,薤白,桂枝,栝楼实,,,,,,,,,,,,,,,,,,,,
人参,甘草,干姜,白术,,,,,,,,,,,,,,,,,,,,,
茯苓,杏仁,甘草,,,,,,,,,,,,,,,,,,,,,,
橘皮,枳实,生姜,,,,,,,,,,,,,,,,,,,,,,
薏苡仁,大附子,,,,,,,,,,,,,,,,,,,,,,,
桂枝,生姜,枳实,,,,,,,,,,,,,,,,,,,,,,
蜀椒,乌头,附子,干姜,赤石脂,,,,,,,,,,,,,,,,,,,,
