02_Info_Herbs_Name_herb_ID,child_ID,herb_cn_name,herb_pinyin,herb_en_name,23_Herbs_Molecules_Relationships_ID,23_Herbs_Molecules_Relationships_herb_ID,23_Herbs_Molecules_Relationships_Mol_ID,03_Info_Molecules_ID,03_Info_Molecules_MOL_ID,mol_name,molecule_name,ob,mw,alogp,caco2,bbb,hdon,hacc,drug-likeness,inchikey,PubChem_Cid,halflife,RBN,TPSA,FASA-
147,25,¹ÏÝä,Gualou,Trichosanthes Kirilowii Maxim,8772,147,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
93,24,µ¤²Î,Danshen,Radix Salviae,5361,93,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
50,11,²ÏÉ³,Cansha,Bombyx Mori L.,3000,50,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
320,34,ÜÍÊµ,Qianshi,Euryales Semen,19692,320,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
272,18,ÂóÑ¿,Maiya,Hordei Fructus Germinatus,16632,272,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
262,5,ÂÌ¶¹,Lvdou,Vigna Radiata,15873,262,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
200,30,½Ê¹ÉÀ¶,Jiaoguolan,Gynostemmae Pentaphylli Herba,11873,200,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
263,5,È„²Ý,Lvcao,Humulus Scandens (Lour.) Merr.,15934,263,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
389,17,Ì´Ïã,Tanxiang,Santalum Album L£®,23673,389,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
398,25,ÌìóÃ»Æ,Tianzhuhuang,Bamusaeconcretiosilicea,24121,398,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
491,5,ÖñÁ¤,Zhuli,Bomboo Juice,28906,491,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
359,30,É½Ò©,Shanyao,Rhizoma Dioscoreae,22123,359,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
22,30,°×Êõ,Baizhu,Atractylodes Macrocephala Koidz.,1244,22,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
35,25,°ëÏÄ,Banxia,Arum Ternatum Thunb.,2156,35,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
93,24,µ¤²Î,Danshen,Radix Salviae,5362,93,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
147,25,¹ÏÝä,Gualou,Trichosanthes Kirilowii Maxim,8773,147,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
262,5,ÂÌ¶¹,Lvdou,Vigna Radiata,15874,262,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
320,34,ÜÍÊµ,Qianshi,Euryales Semen,19693,320,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
187,30,»ÆÜÎ,Huangqi,Hedysarum Multijugum Maxim.,11112,187,MOL000054,54,MOL000054,L-,L-,47.64200167,174.24,-1.107,-0.49475,-1.03774,7,6,0.031878,ODKSFYDXXFIFQN-BYPYZUCNSA-N,28782,0.853607,6,125.22,0
398,25,ÌìóÃ»Æ,Tianzhuhuang,Bamusaeconcretiosilicea,24124,398,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
389,17,Ì´Ïã,Tanxiang,Santalum Album L£®,23677,389,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
359,30,É½Ò©,Shanyao,Rhizoma Dioscoreae,22166,359,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
22,30,°×Êõ,Baizhu,Atractylodes Macrocephala Koidz.,1246,22,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
93,24,µ¤²Î,Danshen,Radix Salviae,5368,93,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
147,25,¹ÏÝä,Gualou,Trichosanthes Kirilowii Maxim,8778,147,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
35,25,°ëÏÄ,Banxia,Arum Ternatum Thunb.,2159,35,MOL000056,56,MOL000056,DTY,DTY,57.55459471,181.21,0.688,-0.10054,-0.48594,4,4,0.046654,OUYCCCASQSFEME-QMMMGPOBSA-N,6942100,0.964133,3,83.55,0
389,17,Ì´Ïã,Tanxiang,Santalum Album L£®,23682,389,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
361,34,É½ÜïÝÇ,Shanzhuyu,Cornus Officinalis Sieb. Et Zucc.,22411,361,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
359,30,É½Ò©,Shanyao,Rhizoma Dioscoreae,22169,359,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
93,24,µ¤²Î,Danshen,Radix Salviae,5375,93,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
22,30,°×Êõ,Baizhu,Atractylodes Macrocephala Koidz.,1255,22,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
35,25,°ëÏÄ,Banxia,Arum Ternatum Thunb.,2162,35,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
90,30,´óÔæ,Dazao,Jujubae Fructus,5219,90,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
147,25,¹ÏÝä,Gualou,Trichosanthes Kirilowii Maxim,8782,147,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
200,30,½Ê¹ÉÀ¶,Jiaoguolan,Gynostemmae Pentaphylli Herba,11885,200,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
320,34,ÜÍÊµ,Qianshi,Euryales Semen,19698,320,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
263,5,È„²Ý,Lvcao,Humulus Scandens (Lour.) Merr.,15943,263,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
262,5,ÂÌ¶¹,Lvdou,Vigna Radiata,15882,262,MOL000065,65,MOL000065,ASI,ASI,79.73701985,133.12,-1.245,-1.02271,-1.535,4,5,0.017132,CKLJMWTZIZZHCS-REOHCLBHSA-N,44367445,11.375,3,100.62,0
398,25,ÌìóÃ»Æ,Tianzhuhuang,Bamusaeconcretiosilicea,24126,398,MOL000067,67,MOL000067,L-Valin,L-Valin,53.32980553,117.17,0.242,0.04105,-0.14396,3,3,0.011914,KZSNJWFQEVHDMF-BYPYZUCNSA-N,6971018,11.3439,2,63.32,0
389,17,Ì´Ïã,Tanxiang,Santalum Album L£®,23684,389,MOL000067,67,MOL000067,L-Valin,L-Valin,53.32980553,117.17,0.242,0.04105,-0.14396,3,3,0.011914,KZSNJWFQEVHDMF-BYPYZUCNSA-N,6971018,11.3439,2,63.32,0
359,30,É½Ò©,Shanyao,Rhizoma Dioscoreae,22170,359,MOL000067,67,MOL000067,L-Valin,L-Valin,53.32980553,117.17,0.242,0.04105,-0.14396,3,3,0.011914,KZSNJWFQEVHDMF-BYPYZUCNSA-N,6971018,11.3439,2,63.32,0
147,25,¹ÏÝä,Gualou,Trichosanthes Kirilowii Maxim,8786,147,MOL000067,67,MOL000067,L-Valin,L-Valin,53.32980553,117.17,0.242,0.04105,-0.14396,3,3,0.011914,KZSNJWFQEVHDMF-BYPYZUCNSA-N,6971018,11.3439,2,63.32,0
